"Gene","Treatment_Stage","mean","std","n","se","DDCtTwoP",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","Target_Antibiotic"
"IS1247_1","A",148.994851851277,24.3495535736821,3,14.0582213104126,176.069352721888,148.992480278015,27.0768724438724,0.333333333333332,2118285556653.39,9.15010511607559e-25,1.56595918564574e-11,"MGE"
"IS1247_1","A",148.994851851277,24.3495535736821,3,14.0582213104126,142.024892424684,148.992480278015,-6.96758785333077,0.333333333333332,2118285556653.39,6.04156911311864e-26,-4.02385452311065e-12,"MGE"
"IS1247_1","A",148.994851851277,24.3495535736821,3,14.0582213104126,128.89031040726,148.992480278015,-20.102169870755,0.333333333333332,2118285556653.39,5.0513265849607e-25,-1.16351000200663e-11,"MGE"
"IS1247_1","B",182.160711846625,33.9189447840005,3,19.5831119016708,221.321531214814,182.160827323794,39.1607038910196,0.333333333333333,214081034533.895,2.40268959111437e-22,2.24625202088728e-10,"MGE"
"IS1247_1","B",182.160711846625,33.9189447840005,3,19.5831119016708,162.016844028196,182.160827323794,-20.1439832955982,0.333333333333333,214081034533.895,6.35742583693376e-23,-1.15544771658266e-10,"MGE"
"IS1247_1","B",182.160711846625,33.9189447840005,3,19.5831119016708,163.143760296866,182.160827323794,-19.0170670269289,0.333333333333333,214081034533.895,5.66600692651e-23,-1.0908077074201e-10,"MGE"
"IS1247_1","C",60.3472697989004,1.47874955485785,2,1.04563383791657,61.392903636817,60.3475608825684,1.04534275424862,0.499999999999998,437136169624.501,1.11693524331822e-25,3.39181853968897e-12,"MGE"
"IS1247_1","C",60.3472697989004,1.47874955485785,2,1.04563383791657,59.3016359609838,60.3475608825684,-1.04592492158453,0.499999999999998,437136169624.501,1.11641457955505e-25,-3.39102789275127e-12,"MGE"
"IS1247_1","D",165.197732911748,8.79243655588358,3,5.07631561237209,167.730355693871,165.197758197784,2.53259749608614,0.333333333333334,10270504574.6406,4.09180701612913e-22,3.02748207527794e-10,"MGE"
"IS1247_1","D",165.197732911748,8.79243655588358,3,5.07631561237209,172.445897838809,165.197758197784,7.2481396410241,0.333333333333334,10270504574.6406,3.35142221515323e-21,8.664401746193e-10,"MGE"
"IS1247_1","D",165.197732911748,8.79243655588358,3,5.07631561237209,155.416945202566,165.197758197784,-9.7808129952181,0.333333333333334,10270504574.6406,6.10268056503165e-21,-1.16918794321832e-09,"MGE"
"IS1247_1","G",161.313874810837,14.0503688492668,3,8.11198423733775,164.278514888052,161.313777446747,2.96473744130506,0.333333333333335,52501783413.3456,2.22596579836369e-23,6.93403643231382e-11,"MGE"
"IS1247_1","G",161.313874810837,14.0503688492668,3,8.11198423733775,173.645353913302,161.313777446747,12.3315764665553,0.333333333333335,52501783413.3456,3.85122276995374e-22,2.88420546825292e-10,"MGE"
"IS1247_1","G",161.313874810837,14.0503688492668,3,8.11198423733775,146.017755631158,161.313777446747,-15.2960218155885,0.333333333333335,52501783413.3456,5.9255972853252e-22,-3.57760955615651e-10,"MGE"
"IS1247_2","A",85.0014173556965,19.0679707584883,3,11.0088980503131,106.891253686831,84.9988317489624,21.892421937869,0.333333333333338,2118285556653.39,6.00404737076575e-25,1.26849702221376e-11,"MGE"
"IS1247_2","A",85.0014173556965,19.0679707584883,3,11.0088980503131,72.0037430200838,84.9988317489624,-12.9950887288786,0.333333333333332,2118285556653.39,2.11655992461079e-25,-7.53152082779897e-12,"MGE"
"IS1247_2","A",85.0014173556965,19.0679707584883,3,11.0088980503131,76.1092553601742,84.9988317489624,-8.88957638878816,0.333333333333332,2118285556653.39,9.90593977630788e-26,-5.15246723429711e-12,"MGE"
"IS1247_2","B",124.124728800899,22.9097754829049,3,13.226965042129,150.122873501681,124.124918699265,25.9979548024162,0.33333333333333,214081034533.895,1.05895230828447e-22,1.49124104268808e-10,"MGE"
"IS1247_2","B",124.124728800899,22.9097754829049,3,13.226965042129,106.891253686831,124.124918699265,-17.2336650124332,0.333333333333334,214081034533.895,4.65307433210608e-23,-9.88506757560246e-11,"MGE"
"IS1247_2","B",124.124728800899,22.9097754829049,3,13.226965042129,115.360059214186,124.124918699265,-8.76485948507815,0.333333333333334,214081034533.895,1.20354901516354e-23,-5.02737797648378e-11,"MGE"
"IS1247_2","C",35.5522123861475,3.67688627981726,3,2.12285128343214,39.1244888861462,35.5902051925659,3.5342836935803,0.333333333333328,437136169624.501,4.89066897126483e-25,1.0037319403509e-11,"MGE"
"IS1247_2","C",35.5522123861475,3.67688627981726,3,2.12285128343214,31.7789598539852,35.5902051925659,-3.81124533858076,0.333333333333335,437136169624.501,5.45488875736963e-25,-1.06005051012588e-11,"MGE"
"IS1247_2","C",35.5522123861475,3.67688627981726,3,2.12285128343214,35.753188418311,35.5902051925659,0.162983225745123,0.333333333333335,437136169624.501,1.55272720822907e-27,5.65563263388973e-13,"MGE"
"IS1247_2","D",115.359679847359,13.5308202473039,3,7.81202271213733,115.360059214186,115.359718084335,0.000341129851051392,0.33333333333333,10270504574.6406,1.02240681376677e-29,4.78559428163065e-14,"MGE"
"IS1247_2","D",115.359679847359,13.5308202473039,3,7.81202271213733,128.89031040726,115.359718084335,13.5305923229248,0.333333333333333,10270504574.6406,1.16790859746491e-20,1.61744095976373e-09,"MGE"
"IS1247_2","D",115.359679847359,13.5308202473039,3,7.81202271213733,101.82866992063,115.359718084335,-13.5310481637056,0.333333333333333,10270504574.6406,1.16797534673842e-20,-1.61748717976188e-09,"MGE"
