Assay,Sample,Ct,Tm,Efficiency,Flags
AY1,1A-rep1,11.78,81.46,1.57,LowEfficiency
AY1,1A-rep3,12.35,81.89,1.71,LowEfficiency
AY1,2A-rep2,13.81,81.87,1.87,
AY1,3A-rep1,13.44,81.95,1.81,
AY1,6A-rep2,12.36,81.88,1.72,LowEfficiency
AY1,7A-rep1,14.21,81.96,1.82,
AY1,3A-rep3,13.06,81.82,1.84,
AY1,4A-rep2,12.74,81.79,1.76,LowEfficiency
AY1,5A-rep1,13.38,81.80,1.78,LowEfficiency
AY1,5A-rep3,13.47,81.85,1.81,
AY1,7A-rep3,13.76,81.81,1.80,LowEfficiency
AY1,8A-rep2,12.66,81.83,1.77,LowEfficiency
AY1,1A-rep2,11.97,81.70,1.82,
AY1,2A-rep1,13.31,81.67,1.84,
AY1,2A-rep3,13.34,81.64,1.87,
AY1,3A-rep2,13.27,81.77,1.94,
AY1,6A-rep3,12.41,81.77,1.77,LowEfficiency
AY1,7A-rep2,13.76,81.71,1.88,
AY1,4A-rep1,12.82,81.71,1.88,
AY1,4A-rep3,12.64,81.63,1.85,
AY1,5A-rep2,13.31,81.67,1.87,
AY1,6A-rep1,12.31,81.65,1.75,LowEfficiency
AY1,8A-rep1,12.85,81.79,1.84,
AY1,8A-rep3,12.60,81.64,1.77,LowEfficiency
AY2,1A-rep1,28.43,80.66,1.79,LowEfficiency
AY2,1A-rep3,26.17,80.65,1.77,LowEfficiency
AY2,2A-rep2,29.91,79.92,1.83,CtIsLarge
AY2,3A-rep1,,,,NoAmplification
AY2,6A-rep2,28.40,80.47,1.77,LowEfficiency
AY2,7A-rep1,,,,NoAmplification
AY2,3A-rep3,,,,NoAmplification
AY2,4A-rep2,29.73,80.53,1.79,"LowEfficiency, CtIsLarge"
AY2,5A-rep1,,,,NoAmplification
AY2,5A-rep3,30.75,80.05,1.83,CtIsLarge
AY2,7A-rep3,,,,NoAmplification
AY2,8A-rep2,,,,NoAmplification
AY2,1A-rep2,28.62,80.74,1.83,
AY2,2A-rep1,,,,NoAmplification
AY2,2A-rep3,,,,NoAmplification
AY2,3A-rep2,,,,NoAmplification
AY2,6A-rep3,,,,NoAmplification
AY2,7A-rep2,,,,NoAmplification
AY2,4A-rep1,28.60,80.54,1.80,
AY2,4A-rep3,27.19,80.63,1.82,
AY2,5A-rep2,,,,NoAmplification
AY2,6A-rep1,28.56,80.53,1.77,LowEfficiency
AY2,8A-rep1,,,,NoAmplification
AY2,8A-rep3,,,,NoAmplification
AY4,1A-rep1,25.36,74.74,1.80,LowEfficiency
AY4,1A-rep3,25.59,74.72,1.90,
AY4,2A-rep2,27.29,74.69,1.94,
AY4,3A-rep1,,,,NoAmplification
AY4,6A-rep2,,,,NoAmplification
AY4,7A-rep1,,,,NoAmplification
AY4,3A-rep3,,,,NoAmplification
AY4,4A-rep2,26.23,74.64,1.88,
AY4,5A-rep1,,,,NoAmplification
AY4,5A-rep3,,,,NoAmplification
AY4,7A-rep3,27.83,74.68,1.95,
AY4,8A-rep2,25.21,74.56,1.90,
AY4,1A-rep2,27.00,74.66,2.06,SaturationBaselineRatioIsLow
AY4,2A-rep1,,,,NoAmplification
AY4,2A-rep3,,,,NoAmplification
AY4,3A-rep2,28.16,74.62,1.89,
AY4,6A-rep3,,,,NoAmplification
AY4,7A-rep2,27.07,74.53,1.98,
AY4,4A-rep1,,,,CurveFitFailed
AY4,4A-rep3,27.49,74.53,1.86,
AY4,5A-rep2,,,,"LowEfficiency, CtIsSmall, SaturationBaselineRatioIsLow, CurveFitFailed, HighBaseline"
AY4,6A-rep1,30.20,74.65,1.76,"LowEfficiency, CtIsLarge"
AY4,8A-rep1,24.90,74.48,1.90,
AY4,8A-rep3,25.35,74.47,1.87,
AY6,1A-rep1,,,,CurveFitFailed
AY6,1A-rep3,28.50,80.77,1.76,LowEfficiency
AY6,2A-rep2,,,,NoAmplification
AY6,3A-rep1,,,,NoAmplification
AY6,6A-rep2,,,,NoAmplification
AY6,7A-rep1,,,,"CtIsLarge, SaturationBaselineRatioIsLow, CurveFitFailed"
AY6,3A-rep3,,,,NoAmplification
AY6,4A-rep2,,,,CurveFitFailed
AY6,5A-rep1,,,,NoAmplification
AY6,5A-rep3,,,,NoAmplification
AY6,7A-rep3,,,,NoAmplification
AY6,8A-rep2,29.60,80.59,1.74,"LowEfficiency, CtIsLarge"
AY6,1A-rep2,29.68,80.81,1.65,"LowEfficiency, CtIsLarge"
AY6,2A-rep1,,,,NoAmplification
AY6,2A-rep3,,,,NoAmplification
AY6,3A-rep2,,,,NoAmplification
AY6,6A-rep3,,,,NoAmplification
AY6,7A-rep2,,,,NoAmplification
AY6,4A-rep1,28.22,80.62,1.76,LowEfficiency
AY6,4A-rep3,,,,CurveFitFailed
AY6,5A-rep2,,,,"CtIsLarge, CurveFitFailed"
AY6,6A-rep1,28.86,80.59,1.73,LowEfficiency
AY6,8A-rep1,,,,NoAmplification
AY6,8A-rep3,,,,NoAmplification
AY7,1A-rep1,24.37,80.08,1.71,LowEfficiency
AY7,1A-rep3,24.04,80.07,1.75,LowEfficiency
AY7,2A-rep2,25.16,80.04,1.75,LowEfficiency
AY7,3A-rep1,27.67,79.97,1.81,
AY7,6A-rep2,30.34,79.80,1.70,"LowEfficiency, CtIsLarge"
AY7,7A-rep1,28.78,79.94,1.77,LowEfficiency
AY7,3A-rep3,,,,NoAmplification
AY7,4A-rep2,24.59,79.98,1.77,LowEfficiency
AY7,5A-rep1,29.34,79.87,1.77,LowEfficiency
AY7,5A-rep3,27.87,79.87,1.83,
AY7,7A-rep3,28.65,79.91,1.80,
AY7,8A-rep2,28.46,79.83,1.74,LowEfficiency
AY7,1A-rep2,23.95,79.99,1.75,LowEfficiency
AY7,2A-rep1,25.10,79.98,1.76,LowEfficiency
AY7,2A-rep3,25.72,79.92,1.80,
AY7,3A-rep2,29.31,79.83,1.76,LowEfficiency
AY7,6A-rep3,28.47,79.78,1.73,LowEfficiency
AY7,7A-rep2,,,,NoAmplification
AY7,4A-rep1,24.57,79.89,1.76,LowEfficiency
AY7,4A-rep3,24.90,79.89,1.70,LowEfficiency
AY7,5A-rep2,29.47,79.73,1.73,LowEfficiency
AY7,6A-rep1,29.15,79.67,1.64,LowEfficiency
AY7,8A-rep1,27.82,79.77,1.68,LowEfficiency
AY7,8A-rep3,28.51,79.68,1.72,LowEfficiency
AY8,1A-rep1,24.75,82.90,1.76,LowEfficiency
AY8,1A-rep3,25.19,83.06,1.70,LowEfficiency
AY8,2A-rep2,26.88,83.05,1.81,
AY8,3A-rep1,26.87,82.99,1.81,
AY8,6A-rep2,26.15,83.02,1.75,LowEfficiency
AY8,7A-rep1,27.03,83.04,1.80,
AY8,3A-rep3,25.30,83.06,1.77,LowEfficiency
AY8,4A-rep2,26.25,82.87,1.75,LowEfficiency
AY8,5A-rep1,26.59,82.93,1.82,
AY8,5A-rep3,28.52,82.91,1.81,
AY8,7A-rep3,25.65,82.92,1.82,
AY8,8A-rep2,25.58,82.90,1.78,LowEfficiency
AY8,1A-rep2,25.53,83.20,1.75,LowEfficiency
AY8,2A-rep1,26.04,83.09,1.74,LowEfficiency
AY8,2A-rep3,26.17,83.03,1.79,LowEfficiency
AY8,3A-rep2,28.64,82.92,1.79,LowEfficiency
AY8,6A-rep3,27.83,82.92,1.77,LowEfficiency
AY8,7A-rep2,26.49,83.00,1.79,LowEfficiency
AY8,4A-rep1,25.93,82.93,1.74,LowEfficiency
AY8,4A-rep3,25.25,82.94,1.78,LowEfficiency
AY8,5A-rep2,28.65,82.90,1.79,LowEfficiency
AY8,6A-rep1,26.89,82.93,1.74,LowEfficiency
AY8,8A-rep1,24.48,82.94,1.72,LowEfficiency
AY8,8A-rep3,25.01,82.84,1.74,LowEfficiency
AY9,1A-rep1,23.15,81.31,1.60,LowEfficiency
AY9,1A-rep3,23.42,81.31,1.79,LowEfficiency
AY9,2A-rep2,24.81,81.22,1.79,LowEfficiency
AY9,3A-rep1,26.19,81.19,1.78,LowEfficiency
AY9,6A-rep2,21.80,81.27,1.70,LowEfficiency
AY9,7A-rep1,25.20,81.14,1.79,LowEfficiency
AY9,3A-rep3,26.03,81.15,1.76,LowEfficiency
AY9,4A-rep2,24.44,81.21,1.80,
AY9,5A-rep1,25.79,81.19,1.82,
AY9,5A-rep3,26.18,81.18,1.78,LowEfficiency
AY9,7A-rep3,26.68,81.02,1.62,LowEfficiency
AY9,8A-rep2,24.60,81.15,1.78,LowEfficiency
AY9,1A-rep2,23.07,81.26,1.74,LowEfficiency
AY9,2A-rep1,25.09,81.19,1.79,LowEfficiency
AY9,2A-rep3,25.07,81.16,1.77,LowEfficiency
AY9,3A-rep2,24.89,81.19,1.86,
AY9,6A-rep3,21.97,81.16,1.72,LowEfficiency
AY9,7A-rep2,25.48,81.15,1.81,
AY9,4A-rep1,24.55,81.14,1.77,LowEfficiency
AY9,4A-rep3,23.85,81.15,1.83,
AY9,5A-rep2,25.78,81.10,1.79,LowEfficiency
AY9,6A-rep1,21.96,81.13,1.71,LowEfficiency
AY9,8A-rep1,25.09,81.03,1.70,LowEfficiency
AY9,8A-rep3,25.41,81.05,1.73,LowEfficiency
AY10,1A-rep1,22.13,82.84,1.82,
AY10,1A-rep3,21.84,82.77,1.84,
AY10,2A-rep2,23.49,82.75,1.88,
AY10,3A-rep1,25.24,82.73,1.84,
AY10,6A-rep2,21.17,82.71,1.79,LowEfficiency
AY10,7A-rep1,26.29,82.69,1.85,
AY10,3A-rep3,25.33,82.72,1.85,
AY10,4A-rep2,22.67,82.72,1.86,
AY10,5A-rep1,26.46,82.63,1.84,
AY10,5A-rep3,25.90,82.70,1.85,
AY10,7A-rep3,24.76,82.75,1.89,
AY10,8A-rep2,23.91,82.66,1.84,
AY10,1A-rep2,22.20,82.91,2.07,
AY10,2A-rep1,23.17,82.74,1.90,
AY10,2A-rep3,23.27,82.76,1.84,
AY10,3A-rep2,24.61,82.71,1.84,
AY10,6A-rep3,21.75,82.72,1.86,
AY10,7A-rep2,24.45,82.70,1.86,
AY10,4A-rep1,22.64,82.77,1.87,
AY10,4A-rep3,22.68,82.70,1.85,
AY10,5A-rep2,25.81,82.78,1.86,
AY10,6A-rep1,21.81,82.71,1.86,
AY10,8A-rep1,23.98,82.69,1.79,LowEfficiency
AY10,8A-rep3,24.53,82.65,1.83,
AY13,1A-rep1,,,,"BadR2, LowEfficiency, CtIsSmall, CurveFitFailed, HighBaseline"
AY13,1A-rep3,28.01,81.51,1.88,
AY13,2A-rep2,,,,NoAmplification
AY13,3A-rep1,,,,NoAmplification
AY13,6A-rep2,,,,NoAmplification
AY13,7A-rep1,,,,NoAmplification
AY13,3A-rep3,,,,"CtIsLarge, CurveFitFailed"
AY13,4A-rep2,28.91,81.40,1.88,
AY13,5A-rep1,,,,NoAmplification
AY13,5A-rep3,,,,NoAmplification
AY13,7A-rep3,,,,NoAmplification
AY13,8A-rep2,,,,NoAmplification
AY13,1A-rep2,27.80,81.48,1.83,
AY13,2A-rep1,28.19,81.41,1.84,
AY13,2A-rep3,,,,NoAmplification
AY13,3A-rep2,,,,NoAmplification
AY13,6A-rep3,,,,NoAmplification
AY13,7A-rep2,,,,NoAmplification
AY13,4A-rep1,,,,CurveFitFailed
AY13,4A-rep3,,,,CurveFitFailed
AY13,5A-rep2,,,,NoAmplification
AY13,6A-rep1,,,,NoAmplification
AY13,8A-rep1,,,,NoAmplification
AY13,8A-rep3,,,,NoAmplification
AY17,1A-rep1,26.56,78.85,1.76,LowEfficiency
AY17,1A-rep3,30.42,78.83,1.68,"LowEfficiency, CtIsLarge"
AY17,2A-rep2,29.90,78.79,1.71,"LowEfficiency, CtIsLarge"
AY17,3A-rep1,29.01,78.78,1.72,LowEfficiency
AY17,6A-rep2,25.99,78.78,1.69,LowEfficiency
AY17,7A-rep1,29.08,78.77,1.75,LowEfficiency
AY17,3A-rep3,,,,NoAmplification
AY17,4A-rep2,27.71,78.73,1.77,LowEfficiency
AY17,5A-rep1,,,,NoAmplification
AY17,5A-rep3,,,,NoAmplification
AY17,7A-rep3,,,,NoAmplification
AY17,8A-rep2,28.20,78.70,1.71,LowEfficiency
AY17,1A-rep2,26.72,79.02,1.52,LowEfficiency
AY17,2A-rep1,,,,NoAmplification
AY17,2A-rep3,28.97,78.85,1.72,LowEfficiency
AY17,3A-rep2,,,,NoAmplification
AY17,6A-rep3,26.55,78.85,1.74,LowEfficiency
AY17,7A-rep2,,,,NoAmplification
AY17,4A-rep1,29.36,78.82,1.69,LowEfficiency
AY17,4A-rep3,29.48,78.80,1.74,LowEfficiency
AY17,5A-rep2,,,,NoAmplification
AY17,6A-rep1,27.64,78.81,1.74,LowEfficiency
AY17,8A-rep1,27.80,78.77,1.67,LowEfficiency
AY17,8A-rep3,27.79,78.76,1.65,LowEfficiency
AY21,1A-rep1,21.29,74.33,1.66,LowEfficiency
AY21,1A-rep3,21.92,74.34,1.74,LowEfficiency
AY21,2A-rep2,23.57,74.35,1.78,LowEfficiency
AY21,3A-rep1,21.62,74.40,1.78,LowEfficiency
AY21,6A-rep2,26.09,74.30,1.66,LowEfficiency
AY21,7A-rep1,27.04,74.30,1.74,LowEfficiency
AY21,3A-rep3,21.45,74.30,1.74,LowEfficiency
AY21,4A-rep2,22.59,74.25,1.77,LowEfficiency
AY21,5A-rep1,23.77,74.25,1.69,LowEfficiency
AY21,5A-rep3,23.58,74.28,1.77,LowEfficiency
AY21,7A-rep3,30.58,74.31,1.73,"LowEfficiency, CtIsLarge"
AY21,8A-rep2,25.12,74.14,1.65,LowEfficiency
AY21,1A-rep2,21.34,74.35,1.69,LowEfficiency
AY21,2A-rep1,23.27,74.30,1.77,LowEfficiency
AY21,2A-rep3,23.48,74.30,1.79,LowEfficiency
AY21,3A-rep2,21.87,74.36,1.72,LowEfficiency
AY21,6A-rep3,24.94,74.28,1.71,LowEfficiency
AY21,7A-rep2,27.98,74.27,1.72,LowEfficiency
AY21,4A-rep1,22.82,74.22,1.67,LowEfficiency
AY21,4A-rep3,23.07,74.23,1.71,LowEfficiency
AY21,5A-rep2,23.80,74.25,1.68,LowEfficiency
AY21,6A-rep1,24.98,74.23,1.67,LowEfficiency
AY21,8A-rep1,24.80,74.15,1.66,LowEfficiency
AY21,8A-rep3,26.69,74.14,1.60,LowEfficiency
AY22,1A-rep1,,,,CurveFitFailed
AY22,1A-rep3,27.94,75.61,1.85,
AY22,2A-rep2,28.20,75.63,1.82,
AY22,3A-rep1,28.69,75.61,1.87,
AY22,6A-rep2,29.94,75.62,1.73,"LowEfficiency, CtIsLarge"
AY22,7A-rep1,,,,NoAmplification
AY22,3A-rep3,28.32,75.57,1.84,
AY22,4A-rep2,28.80,75.56,1.87,
AY22,5A-rep1,,,,NoAmplification
AY22,5A-rep3,,,,NoAmplification
AY22,7A-rep3,26.63,75.52,1.85,
AY22,8A-rep2,,,,NoAmplification
AY22,1A-rep2,26.04,75.88,1.69,LowEfficiency
AY22,2A-rep1,29.52,75.81,2.11,CtIsLarge
AY22,2A-rep3,29.46,75.68,1.86,
AY22,3A-rep2,27.89,75.68,1.87,
AY22,6A-rep3,,,,NoAmplification
AY22,7A-rep2,,,,NoAmplification
AY22,4A-rep1,28.39,75.65,1.84,
AY22,4A-rep3,29.15,75.61,1.80,
AY22,5A-rep2,,,,NoAmplification
AY22,6A-rep1,,,,NoAmplification
AY22,8A-rep1,29.25,75.59,1.74,LowEfficiency
AY22,8A-rep3,27.39,75.57,1.80,LowEfficiency
AY24,1A-rep1,19.24,84.35,1.80,LowEfficiency
AY24,1A-rep3,19.45,84.41,1.85,
AY24,2A-rep2,20.67,84.37,1.84,
AY24,3A-rep1,23.22,84.39,1.83,
AY24,6A-rep2,20.76,84.41,1.82,
AY24,7A-rep1,23.05,84.38,1.80,LowEfficiency
AY24,3A-rep3,22.87,84.42,1.62,LowEfficiency
AY24,4A-rep2,19.98,84.41,1.78,LowEfficiency
AY24,5A-rep1,23.31,84.36,1.84,
AY24,5A-rep3,23.06,84.37,1.83,
AY24,7A-rep3,22.55,84.36,1.87,
AY24,8A-rep2,21.50,84.36,1.80,LowEfficiency
AY24,1A-rep2,19.29,84.50,1.81,
AY24,2A-rep1,20.52,84.39,1.77,LowEfficiency
AY24,2A-rep3,20.46,84.40,1.79,LowEfficiency
AY24,3A-rep2,22.98,84.38,1.86,
AY24,6A-rep3,21.13,84.37,1.78,LowEfficiency
AY24,7A-rep2,22.47,84.41,1.82,
AY24,4A-rep1,20.04,84.42,1.82,
AY24,4A-rep3,20.00,84.43,1.89,
AY24,5A-rep2,23.12,84.36,1.79,LowEfficiency
AY24,6A-rep1,20.99,84.35,1.79,LowEfficiency
AY24,8A-rep1,21.51,84.35,1.79,LowEfficiency
AY24,8A-rep3,21.52,84.38,1.79,LowEfficiency
AY29,1A-rep1,26.23,78.75,1.73,LowEfficiency
AY29,1A-rep3,27.45,78.67,1.79,LowEfficiency
AY29,2A-rep2,28.63,78.57,1.82,
AY29,3A-rep1,28.68,78.63,1.82,
AY29,6A-rep2,26.96,78.63,1.75,LowEfficiency
AY29,7A-rep1,,,,NoAmplification
AY29,3A-rep3,27.54,78.62,1.84,
AY29,4A-rep2,,,,CurveFitFailed
AY29,5A-rep1,28.00,78.61,1.80,
AY29,5A-rep3,28.54,78.61,1.82,
AY29,7A-rep3,28.04,78.63,1.82,
AY29,8A-rep2,,,,NoAmplification
AY29,1A-rep2,26.33,78.90,1.74,LowEfficiency
AY29,2A-rep1,27.86,78.85,1.81,
AY29,2A-rep3,27.29,78.68,1.79,LowEfficiency
AY29,3A-rep2,28.13,78.79,1.81,
AY29,6A-rep3,26.55,78.78,1.78,LowEfficiency
AY29,7A-rep2,,,,NoAmplification
AY29,4A-rep1,27.61,78.74,1.81,
AY29,4A-rep3,27.38,78.70,1.80,LowEfficiency
AY29,5A-rep2,26.77,78.77,1.83,
AY29,6A-rep1,26.64,78.72,1.78,LowEfficiency
AY29,8A-rep1,28.93,78.63,1.75,LowEfficiency
AY29,8A-rep3,,,,NoAmplification
AY30,1A-rep1,28.89,79.83,1.74,LowEfficiency
AY30,1A-rep3,31.82,82.29,1.71,"LowEfficiency, CtIsLarge"
AY30,2A-rep2,32.68,74.84,1.59,"LowEfficiency, CtIsLarge"
AY30,3A-rep1,,,,"LowEfficiency, CtIsLarge, CurveFitFailed"
AY30,6A-rep2,,,,NoAmplification
AY30,7A-rep1,,,,"LowEfficiency, CtIsLarge, CurveFitFailed"
AY30,3A-rep3,,,,"LowEfficiency, CtIsLarge, SaturationBaselineRatioIsLow, CurveFitFailed"
AY30,4A-rep2,34.60,74.50,1.59,"LowEfficiency, CtIsLarge"
AY30,5A-rep1,,,,"LowEfficiency, CtIsLarge, CurveFitFailed"
AY30,5A-rep3,,,,CurveFitFailed
AY30,7A-rep3,,,,NoAmplification
AY30,8A-rep2,29.84,80.32,1.72,"LowEfficiency, CtIsLarge"
AY30,1A-rep2,29.23,79.79,1.75,LowEfficiency
AY30,2A-rep1,,,,CurveFitFailed
AY30,2A-rep3,,,,"LowEfficiency, CtIsLarge, SaturationBaselineRatioIsLow, CurveFitFailed"
AY30,3A-rep2,33.08,74.84,1.57,"LowEfficiency, CtIsLarge"
AY30,6A-rep3,,,,NoAmplification
AY30,7A-rep2,34.86,74.40,1.55,"LowEfficiency, CtIsLarge"
AY30,4A-rep1,,,,CurveFitFailed
AY30,4A-rep3,,,,CurveFitFailed
AY30,5A-rep2,,,,NoAmplification
AY30,6A-rep1,,,,NoAmplification
AY30,8A-rep1,,,,NoAmplification
AY30,8A-rep3,33.85,74.55,1.56,"LowEfficiency, CtIsLarge"
AY31,1A-rep1,34.60,77.44,2.71,CtIsLarge
AY31,1A-rep3,,,,CurveFitFailed
AY31,2A-rep2,34.88,84.06,1.91,CtIsLarge
AY31,3A-rep1,29.82,86.43,1.68,"LowEfficiency, CtIsLarge"
AY31,6A-rep2,,,,"LowEfficiency, CtIsLarge, CurveFitFailed"
AY31,7A-rep1,33.95,87.10,1.89,CtIsLarge
AY31,3A-rep3,32.15,87.13,1.74,"LowEfficiency, CtIsLarge"
AY31,4A-rep2,,,,CurveFitFailed
AY31,5A-rep1,31.36,87.10,1.66,"LowEfficiency, CtIsLarge, MultipleMeltPeaks"
AY31,5A-rep3,33.21,81.54,1.55,"LowEfficiency, CtIsLarge"
AY31,7A-rep3,33.04,87.10,1.83,"CtIsLarge, MultipleMeltPeaks"
AY31,8A-rep2,,,,"CtIsLarge, CurveFitFailed"
AY31,1A-rep2,,,,CurveFitFailed
AY31,2A-rep1,34.99,89.29,2.86,CtIsLarge
AY31,2A-rep3,,,,"CtIsLarge, CurveFitFailed"
AY31,3A-rep2,34.12,88.00,1.75,"LowEfficiency, CtIsLarge, MultipleMeltPeaks"
AY31,6A-rep3,34.33,89.23,1.98,CtIsLarge
AY31,7A-rep2,31.15,89.14,2.07,CtIsLarge
AY31,4A-rep1,,,,CurveFitFailed
AY31,4A-rep3,31.69,87.21,1.83,CtIsLarge
AY31,5A-rep2,34.79,87.32,1.89,CtIsLarge
AY31,6A-rep1,34.45,89.07,1.92,"CtIsLarge, MultipleMeltPeaks"
AY31,8A-rep1,34.98,89.20,1.56,"LowEfficiency, CtIsLarge"
AY31,8A-rep3,32.92,88.38,1.72,"LowEfficiency, CtIsLarge"
AY33,1A-rep1,,,,"LowEfficiency, CtIsSmall, SaturationBaselineRatioIsLow, CurveFitFailed"
AY33,1A-rep3,34.54,77.95,1.80,CtIsLarge
AY33,2A-rep2,,,,NoAmplification
AY33,3A-rep1,,,,"CtIsLarge, SaturationBaselineRatioIsLow, CurveFitFailed"
AY33,6A-rep2,29.60,85.77,1.86,CtIsLarge
AY33,7A-rep1,,,,NoAmplification
AY33,3A-rep3,,,,NoAmplification
AY33,4A-rep2,,,,CurveFitFailed
AY33,5A-rep1,,,,"CtIsLarge, CurveFitFailed"
AY33,5A-rep3,32.25,86.75,1.81,CtIsLarge
AY33,7A-rep3,,,,NoAmplification
AY33,8A-rep2,,,,NoAmplification
AY33,1A-rep2,,,,CurveFitFailed
AY33,2A-rep1,32.18,89.15,1.82,CtIsLarge
AY33,2A-rep3,34.21,82.48,1.62,"LowEfficiency, CtIsLarge"
AY33,3A-rep2,,,,NoAmplification
AY33,6A-rep3,32.89,80.88,1.79,"LowEfficiency, CtIsLarge"
AY33,7A-rep2,31.83,89.00,1.88,CtIsLarge
AY33,4A-rep1,,,,CurveFitFailed
AY33,4A-rep3,,,,CurveFitFailed
AY33,5A-rep2,,,,NoAmplification
AY33,6A-rep1,30.52,80.63,1.61,"LowEfficiency, CtIsLarge"
AY33,8A-rep1,,,,NoAmplification
AY33,8A-rep3,,,,"LowEfficiency, CtIsLarge, SaturationBaselineRatioIsLow, CurveFitFailed"
AY34,1A-rep1,26.55,80.07,1.79,LowEfficiency
AY34,1A-rep3,26.69,80.10,1.78,LowEfficiency
AY34,2A-rep2,27.59,79.83,1.82,
AY34,3A-rep1,,,,NoAmplification
AY34,6A-rep2,23.00,80.04,1.76,LowEfficiency
AY34,7A-rep1,,,,"CtIsLarge, CurveFitFailed"
AY34,3A-rep3,,,,NoAmplification
AY34,4A-rep2,26.94,80.09,1.75,LowEfficiency
AY34,5A-rep1,,,,NoAmplification
AY34,5A-rep3,34.60,86.28,2.01,CtIsLarge
AY34,7A-rep3,28.86,80.06,1.83,
AY34,8A-rep2,28.35,79.41,1.77,LowEfficiency
AY34,1A-rep2,29.27,79.92,1.69,LowEfficiency
AY34,2A-rep1,26.52,80.00,1.77,LowEfficiency
AY34,2A-rep3,29.16,80.00,1.77,LowEfficiency
AY34,3A-rep2,,,,NoAmplification
AY34,6A-rep3,23.39,80.13,1.78,LowEfficiency
AY34,7A-rep2,27.46,80.08,1.80,
AY34,4A-rep1,28.35,79.98,1.76,LowEfficiency
AY34,4A-rep3,27.35,80.06,1.79,LowEfficiency
AY34,5A-rep2,,,,NoAmplification
AY34,6A-rep1,23.83,80.12,1.82,
AY34,8A-rep1,,,,NoAmplification
AY34,8A-rep3,28.48,79.98,1.76,LowEfficiency
AY35,1A-rep1,26.32,84.72,1.86,
AY35,1A-rep3,26.00,84.75,1.91,
AY35,2A-rep2,28.16,84.66,1.87,
AY35,3A-rep1,,,,"LowEfficiency, CtIsLarge, CurveFitFailed"
AY35,6A-rep2,26.64,84.78,1.87,
AY35,7A-rep1,28.26,84.75,1.92,
AY35,3A-rep3,,,,CurveFitFailed
AY35,4A-rep2,26.38,84.75,1.87,
AY35,5A-rep1,,,,NoAmplification
AY35,5A-rep3,28.38,84.71,1.85,
AY35,7A-rep3,,,,"LowEfficiency, CtIsLarge, CurveFitFailed"
AY35,8A-rep2,27.68,84.75,1.84,
AY35,1A-rep2,27.40,84.62,1.84,
AY35,2A-rep1,27.30,84.47,1.83,
AY35,2A-rep3,,,,CurveFitFailed
AY35,3A-rep2,,,,NoAmplification
AY35,6A-rep3,27.24,84.69,1.82,
AY35,7A-rep2,,,,"CtIsLarge, CurveFitFailed"
AY35,4A-rep1,27.39,84.69,1.86,
AY35,4A-rep3,26.91,84.69,1.86,
AY35,5A-rep2,,,,NoAmplification
AY35,6A-rep1,25.72,84.64,1.85,
AY35,8A-rep1,27.78,84.66,1.82,
AY35,8A-rep3,,,,NoAmplification
AY37,1A-rep1,21.28,86.34,1.68,LowEfficiency
AY37,1A-rep3,21.21,86.35,1.69,LowEfficiency
AY37,2A-rep2,22.41,86.33,1.77,LowEfficiency
AY37,3A-rep1,21.71,86.31,1.73,LowEfficiency
AY37,6A-rep2,20.31,86.34,1.67,LowEfficiency
AY37,7A-rep1,22.65,86.31,1.79,LowEfficiency
AY37,3A-rep3,21.68,86.32,1.74,LowEfficiency
AY37,4A-rep2,21.62,86.30,1.72,LowEfficiency
AY37,5A-rep1,22.09,86.29,1.74,LowEfficiency
AY37,5A-rep3,21.83,86.33,1.72,LowEfficiency
AY37,7A-rep3,23.10,86.30,1.76,LowEfficiency
AY37,8A-rep2,21.70,86.33,1.74,LowEfficiency
AY37,1A-rep2,21.02,86.46,1.71,LowEfficiency
AY37,2A-rep1,22.60,86.42,1.73,LowEfficiency
AY37,2A-rep3,22.41,86.45,1.78,LowEfficiency
AY37,3A-rep2,21.65,86.44,1.78,LowEfficiency
AY37,6A-rep3,20.29,86.43,1.70,LowEfficiency
AY37,7A-rep2,23.09,86.41,1.74,LowEfficiency
AY37,4A-rep1,21.75,86.40,1.76,LowEfficiency
AY37,4A-rep3,21.77,86.44,1.78,LowEfficiency
AY37,5A-rep2,21.64,86.40,1.72,LowEfficiency
AY37,6A-rep1,20.22,86.38,1.67,LowEfficiency
AY37,8A-rep1,21.41,86.40,1.73,LowEfficiency
AY37,8A-rep3,21.60,86.40,1.74,LowEfficiency
AY38,1A-rep1,,,,"LowEfficiency, CtIsSmall, SaturationBaselineRatioIsLow, CurveFitFailed, HighBaseline"
AY38,1A-rep3,,,,"LowEfficiency, CtIsSmall, CurveFitFailed, HighBaseline"
AY38,2A-rep2,,,,NoAmplification
AY38,3A-rep1,,,,NoAmplification
AY38,6A-rep2,26.55,80.32,1.70,LowEfficiency
AY38,7A-rep1,,,,NoAmplification
AY38,3A-rep3,,,,NoAmplification
AY38,4A-rep2,,,,CurveFitFailed
AY38,5A-rep1,,,,NoAmplification
AY38,5A-rep3,,,,NoAmplification
AY38,7A-rep3,,,,NoAmplification
AY38,8A-rep2,,,,NoAmplification
AY38,1A-rep2,,,,CurveFitFailed
AY38,2A-rep1,,,,"LowEfficiency, CtIsSmall, SaturationBaselineRatioIsLow, CurveFitFailed, HighBaseline"
AY38,2A-rep3,30.40,80.22,1.64,"LowEfficiency, CtIsLarge"
AY38,3A-rep2,,,,NoAmplification
